magnitude,depth_km,lat,lng,dist_to_coast_km,central_pressure_hpa,max_wind_knots,wave_intensity,label
6.4,31.0,35.5,141.0,307.8846018553333,,,1.0,tsunami
6.0,31.0,23.0,120.1,2613.4420013889885,,,1.5,tsunami
7.0,31.0,-3.0,128.0,4780.4705432203955,,,1.0,tsunami
6.5,31.0,35.5,126.0,1369.6346855269405,,,1.0,tsunami
7.0,31.0,41.04,28.98,8826.01211451427,,,4.0,tsunami
6.5,31.0,35.5,129.5,1069.4149798920494,,,1.0,tsunami
7.0,31.0,23.0,117.0,2842.77153015526,,,2.0,tsunami
7.0,31.0,-4.6,129.9,4902.954486661011,,,3.0,tsunami
8.0,31.0,18.4,121.6,2901.614675272225,,,3.5,tsunami
6.4,31.0,32.5,130.6,1141.029744849585,,,1.5,tsunami
7.0,31.0,16.2,-88.5,12059.915676924653,,,1.5,tsunami
7.0,31.0,33.6,136.3,670.9689721761683,,,1.0,tsunami
6.7,31.0,34.6,135.4,647.5796995501917,,,1.0,tsunami
7.0,31.0,37.5,138.2,262.24298475715995,,,2.0,tsunami
7.1,31.0,34.9,139.5,398.5580573945586,,,1.0,tsunami
7.0,31.0,33.8,136.9,619.9214363711235,,,1.0,tsunami
7.0,31.0,33.7,136.5,650.8517650655983,,,1.0,tsunami
7.0,31.0,33.7,135.2,729.6145205244169,,,1.5,tsunami
7.0,31.0,35.2,139.5,367.2871258279396,,,1.0,tsunami
7.5,31.0,39.0,144.0,270.87218732568437,,,2.0,tsunami
7.0,31.0,35.2,139.4,370.6747394504175,,,1.0,tsunami
6.6,31.0,34.5,33.0,9044.464949745472,,,4.0,tsunami
7.4,31.0,32.3,132.0,1053.3684313456763,,,1.0,tsunami
6.5,31.0,26.2,127.5,1844.9759162694093,,,1.0,tsunami
7.5,31.0,-4.85,152.8,4946.124161093173,,,1.0,tsunami
7.0,31.0,22.2,113.55,3167.3814552209446,,,2.0,tsunami
7.0,31.0,14.4,-61.0,13724.835128970868,,,1.5,tsunami
7.8,31.0,41.0,142.5,328.8977376751369,,,1.0,tsunami
6.6,31.0,38.1,138.7,204.07788290631956,,,1.0,tsunami
7.0,31.0,-3.5,128.5,4820.16217405128,,,0.0,tsunami
6.5,31.0,-3.5,128.5,4820.16217405128,,,0.0,tsunami
7.0,31.0,18.8,93.633,5042.960469155716,,,4.0,tsunami
7.0,31.0,40.5,143.0,300.5804071189286,,,1.5,tsunami
7.0,31.0,33.8,136.7,630.8289454316637,,,1.0,tsunami
7.0,31.0,39.0,139.9,127.12359961863332,,,1.0,tsunami
7.0,31.0,36.95,35.6,8689.42932770506,,,3.0,tsunami
7.0,31.0,33.8,136.7,630.8289454316637,,,2.0,tsunami
7.0,31.0,35.7,135.4,575.3593713823041,,,1.0,tsunami
7.3,31.0,40.9,28.5,8866.274738132317,,,4.0,tsunami
7.0,31.0,37.5,120.0,1843.188463038664,,,1.0,tsunami
7.0,31.0,36.7,28.0,9215.970381207495,,,4.0,tsunami
6.9,31.0,35.2,25.1,9519.4900334518,,,3.0,tsunami
7.0,31.0,42.7,-70.3,10472.17737807683,,,1.5,tsunami
7.5,31.0,10.47,-64.17,13996.854313129614,,,1.5,tsunami
7.4,31.0,40.8,142.0,293.60552681832195,,,2.0,tsunami
7.0,31.0,33.0,35.5,8976.80232425002,,,4.0,tsunami
7.0,31.0,38.65,-28.08,11389.913235387756,,,1.5,tsunami
7.0,31.0,16.8,-99.2,11252.897689176003,,,2.0,tsunami
7.3,31.0,18.5,-70.7,12887.26656271994,,,1.5,tsunami
7.0,31.0,14.002,120.993,3341.8472215066117,,,1.5,tsunami
7.0,31.0,51.5,157.0,1927.5368391812303,,,1.5,tsunami
8.0,31.0,-43.0,-74.0,17035.35007733259,,,1.5,tsunami
7.0,31.0,38.5,20.5,9539.021665185901,,,3.0,tsunami
7.0,31.0,37.2,-7.6,11027.853376440822,,,1.5,tsunami
7.0,31.0,14.002,120.993,3341.8472215066117,,,1.5,tsunami
7.0,31.0,-18.6,-70.2,16289.766999597023,,,3.0,tsunami
8.0,31.0,17.5,-61.5,13383.269168559878,,,1.5,tsunami
7.0,31.0,38.4,26.9,9156.256394148599,,,2.0,tsunami
7.5,31.0,-18.5,-70.35,16270.59644246994,,,1.5,tsunami
8.4,40.0,-9.0,-79.0,14865.127281251956,,,2.5,tsunami
7.0,31.0,14.5,120.5,3324.344890772735,,,1.0,tsunami
7.0,31.0,36.5,25.5,9392.096315627125,,,1.0,tsunami
8.5,31.0,35.3,118.6,2019.0332275424603,,,1.5,tsunami
6.6,31.0,38.4,27.1,9143.64434721685,,,2.0,tsunami
7.2,31.0,42.6,18.1,9336.710332804972,,,4.0,tsunami
8.0,31.0,14.4,121.0,3304.1825426497403,,,1.5,tsunami
6.9,31.0,37.6,21.0,9582.667185790853,,,3.0,tsunami
7.1,31.0,35.2,139.2,377.9890456377621,,,1.0,tsunami
6.6,31.0,37.6,21.0,9582.667185790853,,,1.5,tsunami
7.5,31.0,-18.5,-70.35,16270.59644246994,,,1.5,tsunami
7.0,31.0,35.5,25.5,9470.242940231936,,,1.5,tsunami
7.0,31.0,37.783,-25.5,11446.620254183767,,,1.5,tsunami
7.7,31.0,-17.2,-72.9,15973.835051993641,,,1.5,tsunami
8.5,60.0,-12.3,-77.7,15224.731546873443,,,3.5,tsunami
6.2,33.0,51.019,1.3090000000000002,9339.306570237237,,,1.5,tsunami
7.0,31.0,10.7,-64.1,13976.693151291616,,,1.5,tsunami
7.7,31.0,38.7,-9.1,10928.550736132984,,,1.5,tsunami
6.5,10.0,46.2,13.433,9269.899107107582,,,3.0,tsunami
7.7,31.0,40.8,28.1,8898.556044107549,,,3.0,tsunami
7.1,31.0,35.0,25.5,9509.348125257527,,,3.0,tsunami
6.8,31.0,38.4,26.3,9193.95390197594,,,3.0,tsunami
7.6,31.0,33.5,36.0,8905.489078592023,,,5.0,tsunami
8.4,31.0,34.0,137.5,570.4355068938454,,,2.0,tsunami
7.0,31.0,32.0,35.5,9048.310451200261,,,3.0,tsunami
7.3,31.0,40.7,29.3,8831.448379752299,,,3.0,tsunami
7.0,31.0,40.9,28.8,8847.666580149009,,,1.5,tsunami
7.8,31.0,40.8,29.9,8786.41560345092,,,3.0,tsunami
7.0,31.0,31.3,35.6,9091.206056164048,,,3.0,tsunami
4.1,31.0,33.9,35.5,8912.603730870182,,,3.0,tsunami
6.3,31.0,34.8,32.0,9091.341552370632,,,4.0,tsunami
7.0,31.0,10.7,-64.1,13976.693151291616,,,1.5,tsunami
7.0,31.0,27.85,128.25,1657.9899376162434,,,1.0,tsunami
7.0,31.0,23.0,117.0,2842.77153015526,,,1.0,tsunami
7.0,31.0,0.8,127.325,4394.955184136818,,,1.5,tsunami
9.0,31.0,45.0,-125.0,7389.492402139936,,,1.5,tsunami
7.0,31.0,-6.0,130.0,5052.6431114618645,,,2.5,tsunami
7.0,31.0,-4.0,129.0,4860.655870168195,,,1.5,tsunami
7.0,31.0,51.1,158.0,1949.4678198802958,,,4.0,tsunami
6.4,31.0,38.0,126.0,1313.0202081167056,,,1.5,tsunami
7.0,31.0,-15.5,-75.0,15680.947226843093,,,2.0,tsunami
7.0,31.0,-41.8,-73.8,17044.838804163857,,,1.5,tsunami
6.4,31.0,33.3,131.6,1013.0899916684816,,,1.0,tsunami
9.1,31.0,-32.5,-71.5,17013.85557699237,,,3.5,tsunami
8.1,31.0,40.0,144.0,320.7367173031295,,,2.0,tsunami
8.0,31.0,-36.83,-73.03,17025.534719804655,,,2.5,tsunami
